candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
window=30s features=range train=fixation,4.434511701623215,3.715474493169245,7.457241107571843,5.660291815442128
window=60s features=range train=fixation,4.3562182489299515,3.8275479024857377,7.348494988666549,5.852622631937673
window=60s features=range train=weighted,4.385275634807147,3.876062876529346,6.31792319572501,5.324986995508858
window=30s features=range train=weighted,4.5492893676436585,3.768532860949077,6.597539213790192,5.171837109468198
window=60s features=range train=all,4.439950801981626,3.939887498268446,6.278262434463504,5.345091325839126
window=30s features=context train=fixation,4.614863202917638,3.8518446742228236,7.650822455303462,5.712305019947269
window=30s features=range train=all,4.634293236633747,3.8353001263792876,6.6032115212033,5.173453399186974
window=30s features=context train=weighted,4.661127911436387,3.929809375827472,6.693136651536391,5.294386973618917
window=30s features=context train=all,4.747706529962601,3.9784869363362283,6.692524169319797,5.293689158569731
window=120s features=range train=fixation,4.722420876485019,4.048802107804912,7.7793840579902565,6.187278530905861
window=60s features=context train=fixation,4.805847243110707,4.038369857028281,7.856611796167919,5.921123390849951
window=120s features=range train=weighted,4.680424468668632,4.174982661707625,6.7309620985462315,5.802417032041255
window=60s features=context train=weighted,4.815710244300516,4.116270496808697,6.880596773313731,5.606318677059172
window=120s features=range train=all,4.715332084533977,4.269628106572427,6.663448865794884,5.8948319031036736
window=60s features=context train=all,4.864667047566315,4.170941904511875,6.869992398759768,5.601907333426345
window=60s features=engineered train=weighted,5.630735786830567,4.559633895133808,7.666874716553575,6.07750941061511
window=60s features=engineered train=fixation,5.708653971756171,4.490149838502155,8.812549913824773,6.350875942841052
window=60s features=engineered train=all,5.65208543870144,4.568238446784682,7.66823718520357,6.0568253000039665
window=30s features=engineered train=weighted,6.2416058793811695,4.379851480975299,8.337649742379671,5.795638649716494
window=30s features=engineered train=fixation,6.260561929902917,4.3799876740074,9.48322845665782,6.237318993384436
window=30s features=engineered train=all,6.247307317317726,4.412915312055462,8.33847285856874,5.799671337896828
window=120s features=context train=fixation,6.612080101839363,4.826457744388819,10.181361531859027,6.9491501829038045
window=120s features=context train=weighted,6.5476213497603535,5.106710689843537,9.262378205840223,6.969427591760061
window=120s features=context train=all,6.605641529327258,5.163224333272067,9.289034786755744,6.9640356319340615
window=120s features=engineered train=all,7.908191279114883,6.13570469155936,10.619525500223807,7.750306717124659
window=120s features=engineered train=weighted,8.013478870548045,6.101469893995096,10.791813934850898,7.731140036568555
window=120s features=engineered train=fixation,8.267796290023451,6.181170941893564,11.911940430694656,8.06443132630555
