method,dataset,rmse_h_deg,rmse_v_deg,mae_h_deg,mae_v_deg,fixation_mae_h_deg,fixation_mae_v_deg,f1_weighted,notes
Baseline: majority class,Dataset 3 only,,,,,,,0.33289743325793925,Always predicts the train fold's most frequent class
Baseline: train-fold mean angle,Dataset 3 only,10.728084696106846,7.283958798564137,8.925426913684294,6.063266113415616,8.897479087237974,6.276893954613675,,Always predicts the train fold's mean H/V angle
Classical ML (RF) — classification,Dataset 3 only,,,,,,,0.5457273398350995,
Classical ML (XGB) — regression,Dataset 3 only,5.993834824901595,5.2477226767652585,4.61238956451416,4.105156898498535,4.200127491737816,3.9530358877220833,,"trained on all windows, non-fixation windows weighted 0.2"
Deep multi-task,—,,,,,,,,Run Phase 7 to generate deep_model_<type>.json
Published: Barbara_2024_DKF_VOR_short,Dataset 3,,,,,1.85,2.19,,BSPC 90 (2024) Table 2: ±0.51 / ±0.62; within-subject; 7.77% outliers excluded
Published: Barbara_2024_DKF_VOR_long,Dataset 3,,,,,4.64,6.1,,BSPC 90 (2024) Table 3: ±1.37 / ±2.58; within-subject; 3.91% outliers excluded
Published: Barbara_2024_differencing_short,Dataset 3,,,,,3.59,2.52,,BSPC 90 (2024) Table 2 state of the art: ±0.74 / ±0.62
Published: Barbara_2024_differencing_long,Dataset 3,,,,,8.13,11.25,,BSPC 90 (2024) Table 3 state of the art: ±1.15 / ±5.03
