method,dataset,rmse_h_deg,rmse_v_deg,mae_h_deg,mae_v_deg,fixation_mae_h_deg,fixation_mae_v_deg,f1_weighted,notes
Baseline: majority class,Dataset 4 only,,,,,,,0.333247824195145,Always predicts the train fold's most frequent class
Baseline: train-fold mean angle,Dataset 4 only,4.043014983129372,4.043073245554784,1.9184550046920776,1.9195533990859985,3.8250468697886304,3.8291090989118777,,Always predicts the train fold's mean H/V angle
Classical ML (RF) — classification,Dataset 4 only,,,,,,,0.697154010507198,
Classical ML (XGB) — regression,Dataset 4 only,3.122229606948512,3.3740979154677864,2.061492919921875,2.2770931720733643,1.1104517321442813,1.5078814190792567,,trained on fixation windows only
Deep multi-task,—,,,,,,,,Run Phase 7 to generate deep_model_<type>.json
