candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
window=60s features=range train=fixation,3.1094872048625324,3.252774637914956,6.79919045442868,5.193332537486807
window=120s features=range train=fixation,3.086845534964719,3.3097414682701993,6.680727523422085,5.397646185910672
window=30s features=range train=fixation,3.1985210194096267,3.2100300762765928,7.094263943115863,5.232583731212595
window=60s features=range train=weighted,3.247751119056585,3.2670522257184857,5.240423177041295,4.537648253192615
window=120s features=range train=weighted,3.2064597692149435,3.320621241926311,5.224590204166638,4.696812559958206
window=60s features=range train=all,3.3093794757340182,3.2898823430346233,5.214261787973087,4.544576813991426
window=30s features=range train=weighted,3.3691490153025176,3.2822848649016256,5.322654651341249,4.549473002396946
window=30s features=context train=fixation,3.445146714598226,3.2159132886965196,7.064618776671606,5.14996156255326
window=120s features=range train=all,3.2796024896980542,3.3840290688263996,5.191642068013387,4.713395364286297
window=60s features=context train=fixation,3.4493207033888558,3.236484013795722,7.0656225779976625,5.148858190275757
window=30s features=context train=weighted,3.48135835895145,3.2513735399533297,5.459486284307569,4.497969520959489
window=60s features=context train=weighted,3.478025966711747,3.2980165277298115,5.520963728514361,4.583396550174133
window=30s features=context train=all,3.558586502017443,3.307897668208695,5.455061520141577,4.480272994779951
window=30s features=range train=all,3.5415458065347196,3.3428140501086174,5.375354332754528,4.5448768425117425
window=60s features=context train=all,3.541302688061175,3.35004947949808,5.496841662869021,4.58638394736555
window=60s features=engineered train=weighted,3.734124739909673,3.4324604737637685,5.632089799419884,4.764021579417666
window=60s features=engineered train=fixation,3.774982142781764,3.410023196572868,7.468252410514399,5.3170646805956725
window=60s features=engineered train=all,3.763719750836992,3.497567734531704,5.602318151137177,4.765497451452719
window=120s features=context train=fixation,3.8712366331187384,3.4385593316897314,7.429650488888615,5.2808999830598164
window=120s features=context train=weighted,3.8619475136482633,3.466853623504124,5.92382346175764,4.785685967105361
window=30s features=engineered train=weighted,4.121768653655136,3.245869728070887,5.9202346051899255,4.5810814155068895
window=30s features=engineered train=fixation,4.132675280947178,3.2380330512443884,7.832296732603955,5.216064400812646
window=30s features=engineered train=all,4.119095954616574,3.296162834522252,5.909087233235798,4.564746141914514
window=120s features=context train=all,3.9261064008110558,3.505442910141724,5.900534304919137,4.789555768549595
window=120s features=engineered train=weighted,4.312211454715719,4.095578981058812,6.329166420542727,5.4637347564323235
window=120s features=engineered train=fixation,4.338991866275721,4.091028583189938,7.91123836814781,5.993228775845955
window=120s features=engineered train=all,4.34982945890613,4.1217065049294765,6.308692068760091,5.449727281793283
