candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
window=30s features=context train=fixation,0.6884910792965389,0.9546734659654775,2.713435990325227,3.1082626281576036
window=30s features=range train=fixation,0.6529973493406969,1.0135615742605864,2.720556760414507,3.1854224251118595
window=30s features=engineered train=fixation,0.7702789747316452,1.0828116846584623,2.691158244611461,2.9922683142898445
window=60s features=range train=fixation,0.7737189445325778,1.09363513408374,2.8296497087506056,3.1702377309718925
window=60s features=context train=fixation,0.8092513263500161,1.095066345959227,2.796280473131117,3.0992405048763043
window=30s features=range train=weighted,0.8863384398255401,1.1222967151428216,2.0065619996134827,2.255749417332741
window=30s features=context train=weighted,0.8930781849048943,1.135777037758989,2.0101465645572367,2.2520620252727235
window=120s features=range train=fixation,0.9226512250421945,1.2737307455973306,2.9405858981131963,3.2325907102445237
window=60s features=range train=weighted,0.9925770866017621,1.224535881877955,2.0736954766973796,2.313770424470774
window=60s features=context train=weighted,1.0099073834365797,1.2297084547650887,2.076853981916823,2.3019420157058272
window=120s features=context train=fixation,0.9285427236305362,1.325248964349252,2.925725680020711,3.1206996506432736
window=30s features=engineered train=weighted,0.9954145368314548,1.265424532219827,2.216689477942099,2.457583660312334
window=60s features=engineered train=fixation,0.9899722210052094,1.3277086296739957,2.786285901543554,3.0841772153194
window=120s features=range train=weighted,1.1184962725109089,1.3732888302012558,2.1495994503548648,2.4033014125156904
window=120s features=context train=weighted,1.1201578332489186,1.4183446871867347,2.1478364299436183,2.3969450889357886
window=30s features=context train=all,1.193773636025044,1.421787317287698,1.9562836973083308,2.195053778122155
window=30s features=range train=all,1.1914358556629912,1.4297191514661833,1.957482716645884,2.19998477526269
window=60s features=engineered train=weighted,1.1702609461000546,1.4558261030806052,2.316869069567492,2.5398548514328816
window=60s features=range train=all,1.3195533994056585,1.5139842161413448,2.0356614853003663,2.2531575961339274
window=60s features=context train=all,1.3160517415306312,1.5199556895881343,2.027555189046261,2.2463482991415287
window=30s features=engineered train=all,1.409841107104706,1.6806954114798027,2.1559938581433733,2.3999217556196117
window=120s features=range train=all,1.4430333485029514,1.6494765163844858,2.105450244456784,2.3333246296125796
window=120s features=context train=all,1.4403222905795345,1.6962265651892892,2.0982175572087147,2.335903255910965
window=120s features=engineered train=fixation,1.3729095585562772,1.8479871502298042,2.9491406467256187,3.366264507909825
window=60s features=engineered train=all,1.559576920632697,1.8325732128654706,2.250027072179118,2.474540357618953
window=120s features=engineered train=weighted,1.4922596997544697,1.9018002428699532,2.4925727192469265,2.771843480027806
window=120s features=engineered train=all,1.8182195299721469,2.184117460855647,2.408861648901999,2.6763693773067527
