candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
window=30s features=context train=fixation,4.324477257134767,3.916202332058996,6.881254716071913,5.99361682826779
window=30s features=range train=fixation,4.095864203189036,4.252222778573019,6.72151452562263,6.330264996011388
window=30s features=context train=weighted,4.382098793714983,4.003742092009242,6.024044263316843,5.431166018496231
window=60s features=context train=fixation,4.506537212956494,3.970436465858663,7.192799591163091,5.882025707159354
window=30s features=context train=all,4.466670143983451,4.063227119328082,6.091296866108345,5.425535262083398
window=30s features=range train=weighted,4.11284569279454,4.442538114360465,5.810156717528717,5.932685526662074
window=60s features=range train=fixation,4.282126790031983,4.355135589861028,7.044854578255823,6.269725235972926
window=30s features=range train=all,4.220146574739999,4.4789400033989155,5.870435647660983,5.919666960344305
window=60s features=context train=weighted,4.704061390778596,4.120821449644353,6.4462032675532805,5.485447038318768
window=60s features=range train=weighted,4.419982297393423,4.459617245287207,6.1765996410057955,5.836263144179367
window=120s features=range train=fixation,4.366020229193129,4.54264119997006,7.19123015225011,6.516609342243884
window=60s features=context train=all,4.758313591470995,4.207538370276243,6.439312506494954,5.484466861737753
window=60s features=range train=all,4.4862744115475515,4.564830052769764,6.193691051417203,5.883272613654939
window=30s features=engineered train=all,4.748000758343703,4.383708728063428,6.434042637733784,5.82314102879759
window=30s features=engineered train=weighted,4.745849883862081,4.395143022571685,6.478820769955703,5.8501595130389275
window=120s features=range train=weighted,4.402338103968361,4.769542286671418,6.339426882088492,6.193329508846476
window=30s features=engineered train=fixation,4.892605521047765,4.323520596763857,7.619228865161711,6.336424274947392
window=60s features=engineered train=weighted,4.601698748654483,4.6272378841727,6.33947881269666,6.095322499968678
window=60s features=engineered train=fixation,4.67895546851957,4.589237670302561,7.656513240287732,6.527033011170362
window=60s features=engineered train=all,4.652398947201252,4.674127171174897,6.352309395156757,6.113589040771225
window=120s features=range train=all,4.4977472987990605,4.843047238583498,6.362203479710776,6.223910418420472
window=120s features=context train=fixation,5.058873633962899,4.314593419530629,7.798417485083566,6.1164536678484165
window=120s features=context train=weighted,5.3265458059799915,4.439631075301617,7.294726812962869,5.772555485343205
window=120s features=context train=all,5.39852223148855,4.5262151497674425,7.320701888250145,5.756049201013735
window=120s features=engineered train=fixation,5.6516769755351035,5.364169659952697,8.581929364853842,7.312687926778658
window=120s features=engineered train=weighted,5.696651944585396,5.4286820134469975,7.57362448531479,6.8682333993993305
window=120s features=engineered train=all,5.685587115008395,5.559729046419331,7.518403107657065,6.956274158575749
